name,url,rss_url,type,score,source_count,found_in
Haider Zaidi (DBA),https://haiderzdbre.substack.com,https://haiderzdbre.substack.com/feed,Individual,50,1,manual-curation
StarRocks Blog,https://www.starrocks.io/blog/,https://www.starrocks.io/blog/rss.xml,Company,50,1,manual-curation
Tomas Vondra,https://vondra.me/,https://vondra.me/index.xml,Individual,50,1,manual-curation
Karl Seguin,https://www.openmymind.net,https://www.openmymind.net/atom.xml,Individual,50,1,manual-curation
AR-MS Blog,https://blog.ar-ms.me/,https://blog.ar-ms.me/atom.xml,Individual,50,1,manual-curation
Orhun Parmaksiz,https://blog.orhun.dev/,https://blog.orhun.dev/rss.xml,Individual,50,1,manual-curation
Jiacai Liu,https://en.liujiacai.net/,https://en.liujiacai.net/index.xml,Individual,50,1,manual-curation
Nick Miller (nickmonad),https://nickmonad.blog/,https://nickmonad.blog/atom.xml,Individual,50,1,manual-curation
Strongly Typed Thoughts,https://strongly-typed-thoughts.net/blog,https://strongly-typed-thoughts.net/blog/feed,Individual,50,1,manual-curation
Mitchell Hashimoto,https://mitchellh.com/writing,https://mitchellh.com/feed.xml,Individual,50,1,manual-curation
Loris Cro,https://kristoff.it/,https://kristoff.it/index.xml,Individual,50,1,manual-curation
Andrew Kelley,https://andrewkelley.me/,https://andrewkelley.me/rss.xml,Individual,50,1,manual-curation
Dave Gauer (ratfactor),https://ratfactor.com/,https://ratfactor.com/atom.xml,Individual,50,1,manual-curation
Ryan Liptak,https://www.ryanliptak.com/blog/,https://www.ryanliptak.com/atom.xml,Individual,50,1,manual-curation
Games by Mason,https://gamesbymason.com/devlog/,https://gamesbymason.com/devlog/rss.xml,Individual,50,1,manual-curation
Anton Zhiyanov,https://antonz.org/,https://antonz.org/index.xml,Individual,50,1,manual-curation
Frank Denis,https://00f.net/,https://00f.net/atom.xml,Individual,50,1,manual-curation
pyk,https://pyk.sh/blog,https://pyk.sh/rss.xml,Individual,50,1,manual-curation
cryptocode,https://cryptocode.github.io/blog/,https://cryptocode.github.io/blog/index.xml,Individual,50,1,manual-curation
Scott Redig,https://www.scottredig.com/blog/,https://www.scottredig.com/rss.xml,Individual,50,1,manual-curation
Lukas Lalinsky,https://lalinsky.com/,https://lalinsky.com/feed.xml,Individual,50,1,manual-curation
George Huebner,https://feyor.sh/blog/,https://feyor.sh/blog/atom.xml,Individual,50,1,manual-curation
Alex Rios,https://alexrios.me/blog/,https://alexrios.me/rss.xml,Individual,50,1,manual-curation
Ohad Ravid,https://ohadravid.github.io/,https://ohadravid.github.io/index.xml,Individual,50,1,manual-curation
iamkroot,https://iamkroot.github.io/blog/,https://iamkroot.github.io/feed.xml,Individual,50,1,manual-curation
Raymond Tana,https://raymondtana.github.io/,https://raymondtana.github.io/feed.xml,Individual,50,1,manual-curation
Anthony Templeton,https://atempleton.bearblog.dev/,https://atempleton.bearblog.dev/feed/,Individual,50,1,manual-curation
Arne Bahlo,https://arne.me/blog/,https://arne.me/feed.xml,Individual,50,1,manual-curation
Vinnie Falco,https://www.vinniefalco.com/,https://www.vinniefalco.com/feed,Individual,50,1,manual-curation
Zig Devlog,https://ziglang.org/devlog/,https://ziglang.org/devlog/index.xml,Company,50,1,manual-curation
Joshua Oyelaran,https://joshuao.com/posts/,https://joshuao.com/index.xml,Individual,50,1,manual-curation
